paper_arxiv_id,author_id,author_sequence,author_name
2502.13728,2166504589,1,
2503.09712,2042303571,1,
2506.12689,2367197357,4,
2504.11669,50997909,1,
2504.11367,2258720735,1,
2502.07436,2345008510,3,
2504.108,1795170,2,
2502.1353,2258638253,6,
2504.10800,1795170,2,
2502.13530,2258638253,6,
1706.03762v7,ss_noam_shazeer,2,Noam Shazeer
1706.03762v7,ss_niki_parmar,3,Niki Parmar
2504.14294,3129798,1,
2502.13728,2166504589,1,
2503.09712,2042303571,1,
2506.12689,2367197357,4,
2504.11669,50997909,1,
2504.11367,2258720735,1,
2502.07436,2345008510,3,
2504.108,1795170,2,
2502.1353,2258638253,6,
